"ORDEN;CLASE;MARCA;MODELO;FECHA MATRICULA/RADICACION;AÑO;MES;DIA"
"155;AUTOMOVIL;MAZDA;1994;17/11/2000;2000;11/11/2022;17.viernes"
"156;MOTOCICLETA;YAMAHA;1999;01/08/2000;2000;08/08/2022;01.martes"
"157;AUTOMOVIL;CHEVROLET;1990;03/08/2000;2000;08/08/2022;03.jueves"
"158;CAMION;MAZDA;2000;05/01/2000;2000;01/01/2022;05.mi‚rcoles"
"159;AUTOMOVIL;RENAULT;2000;27/01/2000;2000;01/01/2022;27.jueves"
"160;BUSETA;CHEVROLET;2000;30/05/2000;2000;05/05/2022;30.martes"
"161;MOTOCICLETA;HONDA;2000;10/08/2000;2000;08/08/2022;10.jueves"
"162;MOTOCICLETA;HONDA;2001;25/09/2000;2000;09/09/2022;25.lunes"
"163;MOTOCICLETA;HONDA;2000;11/02/2000;2000;02/02/2022;11.viernes"
"164;AUTOMOVIL;CHEVROLET;2000;17/02/2000;2000;02/02/2022;17.jueves"
"165;MOTOCICLETA;SUZUKI;2000;02/03/2000;2000;03/03/2022;02.jueves"
"166;AUTOMOVIL;CHEVROLET;1996;31/10/2000;2000;10/10/2022;31.martes"
"167;MOTOCICLETA;SUZUKI;2000;25/09/2000;2000;09/09/2022;25.lunes"
"168;MOTOCICLETA;HONDA;2000;07/09/2000;2000;09/09/2022;07.jueves"
"169;MOTOCICLETA;YAMAHA;2000;17/03/2000;2000;03/03/2022;17.viernes"
"170;MOTOCICLETA;YAMAHA;2000;16/08/2000;2000;08/08/2022;16.mi‚rcoles"
"171;AUTOMOVIL;FORD;2000;23/07/2000;2000;07/07/2022;23.domingo"
"172;MOTOCICLETA;HONDA;2000;05/04/2000;2000;04/04/2022;05.mi‚rcoles"
"173;MOTOCICLETA;SUZUKI;2000;02/08/2000;2000;08/08/2022;02.mi‚rcoles"
